iter	RMSE
0	35.17367917
1	34.45989246
2	33.81745953
3	33.15514448
4	32.5132728
5	31.90013074
6	31.32796475
7	30.82632828
8	30.34889597
9	29.88726474
10	29.46371161
11	29.07680167
12	28.67703359
13	28.34484966
14	28.04060114
15	27.74489926
16	27.48762875
17	27.22448054
18	27.00301932
19	26.79424405
20	26.56478646
21	26.36196521
22	26.16132568
23	26.02324	26.24	25.86825	25.25	25.72926	2526	25.595027	2527	25.460728	2528	25.334529	2529	25.19243803
30	25.08186393
31	24.992632	2532	24.891333	24.93693984
34	24.86959444
35	24.78061201
36	24.68307923
37	24.61196684
38	24.54494943
39	24.47734003
40	24.42683272
41	24.36214505
42	24.30907046
43	24.25234489
44	24.22150989
45	24.18134673
46	24.14100102
47	24.10460947
48	24.06041072
49	24.01766325
50	23.97796285
51	23.93176303
52	23.90192416
53	23.87110296
54	23.8322754
55	23.80411532
56	23.77983495
57	23.75643079
58	23.72272548
59	23.70741311
60	23.68082805
61	23.66980568
62	23.63874213
63	23.6158664
64	23.61039562
65	23.59359569
66	23.57864415
67	23.55954294
68	23.53647062
69	23.51601414
70	23.48359377
71	23.45187756
72	23.4400466
73	23.41923925
74	23.41416856
75	23.38916922
76	23.37654603
77	23.35625672
78	23.3501792
79	23.34124064
80	23.33331488
81	23.3181804
82	23.29162565
83	23.28181382
84	23.24233219
85	23.22845228
86	23.21231461
87	23.20357892
88	23.18790131
89	23.17900545
90	23.16523738
91	23.16176041
92	23.14816981
93	23.13794283
94	23.12481153
95	23.11344712
96	23.09551246
97	23.08964887
98	23.0767086
99	23.05249262
100	23.04617375
101	23.03740534
102	23.02731305
103	23.0160964
104	23.01286867
105	23.00908694
106	22.99669406
107	22.98539121
108	22.97065942
109	22.96629875
110	22.94652326
111	22.93871987
112	22.93079292
113	22.92647647
114	22.92310209
115	22.91706669
116	22.91288217
117	22.90725118
118	22.90303347
119	22.88337704
120	22.874434
121	22.86849644
122	22.86490052
123	22.85959283
124	22.8533775
125	22.82971136
126	22.8082725
127	22.8036447
128	22.79876888
129	22.79246691
130	22.78379001
131	22.78134387
132	22.77824928
133	22.77480171
134	22.75629246
135	22.74259854
136	22.73597831
137	22.73187101
138	22.72545841
139	22.72038067
140	22.71538928
141	22.70222156
142	22.6969058
143	22.69317618
144	22.68214998
145	22.66499782
146	22.65886463
147	22.65237834
148	22.64843828
149	22.64297816
150	22.63712491
151	22.63220703
152	22.62689202
153	22.62167837
154	22.61505194
155	22.61115078
156	22.60520135
157	22.59928461
158	22.59480924
159	22.58960934
160	22.57486385
161	22.56909393
162	22.56036326
163	22.55352145
164	22.54864574
165	22.5432368
166	22.53070598
167	22.5220664
168	22.51350307
169	22.50830407
170	22.5044339
171	22.49949321
172	22.47756089
173	22.4723131
174	22.46657244
175	22.46091514
176	22.45517207
177	22.42989842
178	22.42231035
179	22.41674434
180	22.41015716
181	22.40450388
182	22.39617795
183	22.38955541
184	22.38352463
185	22.37670733
186	22.37124737
187	22.36559591
